sample_offset,num_samples,watch_ts_ms
831360,1920,1784743661093
833280,1920,1784743661132
835200,1920,1784743661173
837120,1920,1784743661212
839040,1920,1784743661253
840960,1920,1784743661292
842880,1920,1784743661331
844800,1920,1784743661373
846720,1920,1784743661413
848640,1920,1784743661453
850560,1920,1784743661491
852480,1920,1784743661533
854400,1920,1784743661572
856320,1920,1784743661611
858240,1920,1784743661651
860160,1920,1784743661691
862080,1920,1784743661731
864000,1920,1784743661772
865920,1920,1784743661811
867840,1920,1784743661850
869760,1920,1784743661891
871680,1920,1784743661931
873600,1920,1784743661972
875520,1920,1784743662011
877440,1920,1784743662051
879360,1920,1784743662093
881280,1920,1784743662132
883200,1920,1784743662170
885120,1920,1784743662209
887040,1920,1784743662251
888960,1920,1784743662292
890880,1920,1784743662331
892800,1920,1784743662371
894720,1920,1784743662410
896640,1920,1784743662452
898560,1920,1784743662491
900480,1920,1784743662532
902400,1920,1784743662573
904320,1920,1784743662611
906240,1920,1784743662651
908160,1920,1784743662692
910080,1920,1784743662731
912000,1920,1784743662771
913920,1920,1784743662811
915840,1920,1784743662853
917760,1920,1784743662893
919680,1920,1784743662933
921600,1920,1784743662973
923520,1920,1784743663011
925440,1920,1784743663052
927360,1920,1784743663091
929280,1920,1784743663132
931200,1920,1784743663172
933120,1920,1784743663211
935040,1920,1784743663251
936960,1920,1784743663292
938880,1920,1784743663332
940800,1920,1784743663371
942720,1920,1784743663413
944640,1920,1784743663453
946560,1920,1784743663492
948480,1920,1784743663531
950400,1920,1784743663571
952320,1920,1784743663611
954240,1920,1784743663652
956160,1920,1784743663691
958080,1920,1784743663732
960000,1920,1784743663771
961920,1920,1784743663814
963840,1920,1784743663851
965760,1920,1784743663893
967680,1920,1784743663931
969600,1920,1784743663971
971520,1920,1784743664011
973440,1920,1784743664052
975360,1920,1784743664093
977280,1920,1784743664133
979200,1920,1784743664173
981120,1920,1784743664212
983040,1920,1784743664251
984960,1920,1784743664289
986880,1920,1784743664331
988800,1920,1784743664371
990720,1920,1784743664411
992640,1920,1784743664449
994560,1920,1784743664490
996480,1920,1784743664531
998400,1920,1784743664574
1000320,1920,1784743664610
1002240,1920,1784743664652
1004160,1920,1784743664691
1006080,1920,1784743664731
1008000,1920,1784743664771
1009920,1920,1784743664810
1011840,1920,1784743664853
1013760,1920,1784743664892
1015680,1920,1784743664931
1017600,1920,1784743664971
1019520,1920,1784743665011
1021440,1920,1784743665049
1023360,1920,1784743665089
1025280,1920,1784743665129
1027200,1920,1784743665170
1029120,1920,1784743665211
1031040,1920,1784743665252
1032960,1920,1784743665291
1034880,1920,1784743665331
1036800,1920,1784743665371
1038720,1920,1784743665411
1040640,1920,1784743665452
1042560,1920,1784743665491
1044480,1920,1784743665532
1046400,1920,1784743665572
1048320,1920,1784743665612
1050240,1920,1784743665653
1052160,1920,1784743665692
1054080,1920,1784743665732
1056000,1920,1784743665773
1057920,1920,1784743665813
1059840,1920,1784743665852
1061760,1920,1784743665893
1063680,1920,1784743665933
1065600,1920,1784743665973
1067520,1920,1784743666013
1069440,1920,1784743666052
1071360,1920,1784743666090
1073280,1920,1784743666133
1075200,1920,1784743666171
1077120,1920,1784743666211
1079040,1920,1784743666251
1080960,1920,1784743666292
1082880,1920,1784743666333
1084800,1920,1784743666371
1086720,1920,1784743666411
1088640,1920,1784743666455
1090560,1920,1784743666492
1092480,1920,1784743666531
1094400,1920,1784743666571
1096320,1920,1784743666611
1098240,1920,1784743666652
1100160,1920,1784743666691
1102080,1920,1784743666732
1104000,1920,1784743666772
1105920,1920,1784743666811
1107840,1920,1784743666851
1109760,1920,1784743666891
1111680,1920,1784743666932
1113600,1920,1784743666972
1115520,1920,1784743667012
1117440,1920,1784743667052
1119360,1920,1784743667091
1121280,1920,1784743667131
1123200,1920,1784743667171
1125120,1920,1784743667213
1127040,1920,1784743667252
1128960,1920,1784743667293
1130880,1920,1784743667333
1132800,1920,1784743667373
1134720,1920,1784743667413
1136640,1920,1784743667452
1138560,1920,1784743667492
1140480,1920,1784743667533
1142400,1920,1784743667572
1144320,1920,1784743667611
1146240,1920,1784743667651
1148160,1920,1784743667692
1150080,1920,1784743667733
1152000,1920,1784743667771
1153920,1920,1784743667812
1155840,1920,1784743667854
1157760,1920,1784743667893
1159680,1920,1784743667932
1161600,1920,1784743667973
1163520,1920,1784743668011
1165440,1920,1784743668055
1167360,1920,1784743668091
1169280,1920,1784743668131
1171200,1920,1784743668171
1173120,1920,1784743668212
1175040,1920,1784743668251
1176960,1920,1784743668292
1178880,1920,1784743668334
1180800,1920,1784743668371
1182720,1920,1784743668413
1184640,1920,1784743668452
1186560,1920,1784743668492
1188480,1920,1784743668533
1190400,1920,1784743668572
1192320,1920,1784743668613
1194240,1920,1784743668652
1196160,1920,1784743668693
1198080,1920,1784743668731
1200000,1920,1784743668771
1201920,1920,1784743668811
1203840,1920,1784743668851
1205760,1920,1784743668892
1207680,1920,1784743668931
1209600,1920,1784743668972
1211520,1920,1784743669011
1213440,1920,1784743669051
1215360,1920,1784743669090
1217280,1920,1784743669131
1219200,1920,1784743669171
1221120,1920,1784743669211
